EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,NAME,STATE_NAME,REGION_CODE,LAT_HEMIS,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DECIMAL,LONG_HEMIS,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DECIMAL,ELEV,MAG_VARN,MAG_VARN_HEMIS,MAG_VARN_YEAR,ALT_CODE
2026-01-22,MLT,VOR/DME,ME,MILLINOCKET,US,MILLINOCKET,MAINE,ANE,N,45,35,12.1531,45.58670919,W,68,30,55.6668,-68.515463,553.2,20,W,1965,VH
2026-01-22,MLU,VORTAC,LA,MONROE,US,MONROE,LOUISIANA,ASW,N,32,31,0.7658,32.51687938,W,92,2,9.6503,-92.03601397,76.7,3,E,1995,VL
2026-01-22,MMB,VORTAC,OK,GAGE,US,MITBEE,OKLAHOMA,ASW,N,36,20,37.437,36.3437325,W,99,52,48.439,-99.88012194,2426,10,E,1965,VH
2026-01-22,MMJ,DME,PA,PITTSBURGH,US,MONTOUR,PENNSYLVANIA,AEA,N,40,29,16.8,40.488,W,80,11,37.8,-80.19383333,1193,NA,NA,NA,NA
2026-01-22,MML,VOR/DME,MN,MARSHALL,US,MARSHALL,MINNESOTA,AGL,N,44,26,54.2842,44.44841227,W,95,49,29.1429,-95.82476191,1179.6,5,E,1995,T
2026-01-22,MMM,VORTAC,NV,MORMON MESA,US,MORMON MESA,NEVADA,AWP,N,36,46,9.3089,36.76925247,W,114,16,38.8283,-114.2774523,2106.3,16,E,1965,VL
2026-01-22,MMT,VORTAC,SC,EASTOVER,US,MC ENTIRE,SOUTH CAROLINA,ASO,N,33,55,26.74,33.92409444,W,80,48,8.44,-80.80234444,247.3,8,W,2020,L
2026-01-22,MNI,NDB,SC,MANNING,US,MANNING,SOUTH CAROLINA,ASO,N,33,35,16.4215,33.58789486,W,80,12,22.0667,-80.20612963,100,6,W,1995,NA
2026-01-22,MNL,NDB,AK,VALDEZ,US,MINERAL CREEK,ALASKA,AAL,N,61,7,27.2147,61.1242263,W,146,21,8.0651,-146.3522403,21.4,19,E,2015,NA
2026-01-22,MNM,DME,MI,MENOMINEE,US,MENOMINEE,MICHIGAN,AGL,N,45,10,48.5498,45.18015272,W,87,38,49.7951,-87.6471653,649.3,NA,NA,NA,NA
